Ne,c,u,E_rsqr
40,0.01,0,0.432970113
40,0.01,1.00E-09,0.10183284
40,0.02,0,0.241972246
40,0.02,1.00E-09,0.076300775
40,0.03,0,0.164893312
40,0.03,1.00E-09,0.062851436
40,0.04,0,0.125564653
40,0.04,1.00E-09,0.054364904
40,0.05,0,0.102032139
40,0.05,1.00E-09,0.048433612
40,0.06,0,0.08640412
40,0.06,1.00E-09,0.044007678
40,0.07,0,0.07525931
40,0.07,1.00E-09,0.040551997
40,0.08,0,0.066895829
40,0.08,1.00E-09,0.037763093
40,0.09,0,0.060376508
40,0.09,1.00E-09,0.035454921
40,0.1,0,0.055143832
40,0.1,1.00E-09,0.033506472
40,0.2,0,0.031151128
40,0.2,1.00E-09,0.023162569
40,0.3,0,0.02287096
40,0.3,1.00E-09,0.018848652
40,0.4,0,0.018699979
40,0.4,1.00E-09,0.016460715
40,0.5,0,0.016248156
40,0.5,1.00E-09,0.014972497
45,0.01,0,0.395803502
45,0.01,1.00E-09,0.093988092
45,0.02,0,0.215880156
45,0.02,1.00E-09,0.06933256
45,0.03,0,0.146671751
45,0.03,1.00E-09,0.056843377
45,0.04,0,0.111784926
45,0.04,1.00E-09,0.049043602
45,0.05,0,0.090951174
45,0.05,1.00E-09,0.043620704
5,0.01,0,0.908997045
5,0.01,1.00E-09,0.360915404
5,0.02,0,0.82587432
5,0.02,1.00E-09,0.335540024
5,0.03,0,0.750728794
5,0.03,1.00E-09,0.314253394
5,0.04,0,0.683414023
5,0.04,1.00E-09,0.296142255
5,0.05,0,0.623574362
5,0.05,1.00E-09,0.280546013
5,0.06,0,0.570695403
5,0.06,1.00E-09,0.266975163
5,0.07,0,0.524161424
5,0.07,1.00E-09,0.255059364
5,0.08,0,0.483310252
5,0.08,1.00E-09,0.244513324
5,0.09,0,0.447478611
5,0.09,1.00E-09,0.235113756
5,0.1,0,0.416034781
5,0.1,1.00E-09,0.226683433
5,0.2,0,0.24451317
5,0.2,1.00E-09,0.173959784
5,0.3,0,0.180721856
5,0.3,1.00E-09,0.148187052
5,0.4,0,0.149714618
5,0.4,1.00E-09,0.133210101
5,0.5,0,0.132268401
5,0.5,1.00E-09,0.123780036
45,0.06,0,0.077102399
45,0.06,1.00E-09,0.039586482
45,0.07,0,0.067209766
45,0.07,1.00E-09,0.036442906
45,0.08,0,0.059773061
45,0.08,1.00E-09,0.03390947
45,0.09,0,0.053967054
45,0.09,1.00E-09,0.031814985
45,0.1,0,0.049300621
45,0.1,1.00E-09,0.030048444
45,0.2,0,0.027832464
45,0.2,1.00E-09,0.020693477
45,0.3,0,0.020403553
45,0.3,1.00E-09,0.016804584
45,0.4,0,0.016660872
45,0.4,1.00E-09,0.014655517
45,0.5,0,0.014461267
45,0.5,1.00E-09,0.013317408
50,0.01,0,0.363508734
50,0.01,1.00E-09,0.086468007
50,0.02,0,0.194678506
50,0.02,1.00E-09,0.063496291
50,0.03,0,0.132116351
50,0.03,1.00E-09,0.051880095
50,0.04,0,0.100813482
50,0.04,1.00E-09,0.044676709
50,0.05,0,0.08212411
50,0.05,1.00E-09,0.039686468
50,0.06,0,0.069682053
50,0.06,1.00E-09,0.035981899
50,0.07,0,0.06077859
50,0.07,1.00E-09,0.033099181
50,0.08,0,0.054074673
50,0.08,1.00E-09,0.030778293
50,0.09,0,0.048833596
50,0.09,1.00E-09,0.028861021
50,0.1,0,0.044616457
50,0.1,1.00E-09,0.027244977
50,0.2,0,0.025165021
50,0.2,1.00E-09,0.018703508
50,0.3,0,0.01842192
50,0.3,1.00E-09,0.015162151
50,0.4,0,0.01502519
50,0.4,1.00E-09,0.013207899
50,0.5,0,0.013029527
50,0.5,1.00E-09,0.011992062
5,6.25E-05,1.00E-09,0.391465989
10,6.25E-05,1.00E-09,0.290723855
15,6.25E-05,1.00E-09,0.247464962
20,6.25E-05,1.00E-09,0.221814877
25,6.25E-05,1.00E-09,0.204299278
30,6.25E-05,1.00E-09,0.191312887
35,6.25E-05,1.00E-09,0.181659885
40,6.25E-05,1.00E-09,0.173004498
45,6.25E-05,1.00E-09,0.168751589
50,6.25E-05,1.00E-09,0.160632676
10,6.25E-05,0,0.998694707
15,6.25E-05,0,0.997976958
20,6.25E-05,0,0.997256898
25,6.25E-05,0,0.996535683
30,6.25E-05,0,0.995813884
35,6.25E-05,0,0.995091824
40,6.25E-05,0,0.994369704
45,6.25E-05,0,0.993647656
50,6.25E-05,0,0.992925772
5,6.25E-05,0,0.99940735
